,corpus,label
193,"just beg @100monkeysmusic .. PLEASE come to the #SBLeurope Next year !. We need you there ! *puss in boots eyes* RT @ravenalexis Wanna meet me , @jessejane , @rileysteele , and @kayden_kross ? Come to the Body Heat signing at Hustler Hollywood Sep 23rd 8-10pm Sitting here feeling awful with hayfever/headcold/sinusinfection but the sunshine is lovely .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-other I-other O O B-facility I-facility O O O O O O O O O O O O O O O
194,Can't feel too bad with such a nice day .,O O O O O O O O O O
195,@MinkyMoo I really didn't want one either but I literally laughed out loud when I read it .,O O O O O O O O O O O O O O O O O O
196,"I'm sure that is not the reaction she wanted ;) SATURDAY NIGHT CAST PARTY INVITATION http://conta.cc/csqjCc via #constantcontact If this beer list doesn't make your head spin , it will tomorrow when we ADD MORE !... http://fb.me/GVhHzbMR It is the 80 ' weekend ! I started today with some wonderful videos ; I'll be sharing with all of you more wonderful ... http://fb.me/G3Nzs97h Pretty much any time I get an email from someone who puts "" PhD "" in the from field , I know there 's going to be trouble After a great two days of meetings with Houston , Fes is back in Salt Lake .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-geo-loc O B-person O O O B-geo-loc I-geo-loc O
197,@diaryOFcrazy_T still trying to warm up my toes are cold as :) but just chillin no running today .,O O O O O O O O O O O O O O O O O O O
198,"@Nikitajonesxo mhm fo sho ! i like being able to walk over when im bored ha You know , we got to thinking .",O O O O O O O O O O O O O O O O O O O O O O O O
199,We've been ragging on poor M .,O O O O O B-person I-person
200,"Night for weeks now and perhaps , just perhaps , we're... http://fb.me/v87NJfkO Tidyin my room .",I-person O O O O O O O O O O O O O O O
201,Need to do my hair .,O O O O O O
202,its soo nasty when its naturally curly .,O O O O O O O O
203,@DavidHayemaker Liked your spot on Radio 1 the other day .,O O O O O B-other I-other O O O O
204,"@Bills_Ears WELL SORRRY !! I did n't know you YEARS AGO ! @TATTEDUP_FLYTY lol Hmmm .. man u kno when u tripped LMao http://bit.ly/9sFpBN Last #Reach video today , I promise .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
205,This one is for everyone complaining about the sword lunge being gone .,O O O O O O O O O O O O O
206,"Sprint ! @becky_89 Oh dear , well i'll cheer you up on Wednesday ! xx Gotta dress up for london fashion week and party in style ! Thanks for all you do : @marketinghabit , @girlfriendgroup , @cjhayden , @KadenaSimon .",O O O O O O O O O O O O O O O O O O O B-other I-other I-other O O O O O O O O O O O O O O O O O O O
207,You bolstered my week .,O O O O O
208,Time to fire up the grill again .,O O O O O O O O
209,I do believe it will be chicken .,O O O O O O O O
210,"sunny friday :) Stop by the COLLEGE REPUBLICAN TAILGATE tomorrow @ 9:30 in Yellow Lot 17 for FOOD before the game holy cow - I'm almost ready for sessions ! Walls painted , lights hung , backdrop system up and working ! Tomorrow ... http://fb.me/t8hzqbAZ What should you do when you're sued .",O O O O O O B-other I-other I-other O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
211,Here are a few tips .,O O O O O O
212,http://www.calitigationblog.com/2010/09/articles/what-to-do-when-you-are-sued/ Lucid Dementia Playing in Austin Tonite at The Scoot Inn at 1am ! Over My Boyfriend House Tonite We Going Do The Damn Thing .,O B-musicartist I-musicartist O O B-geo-loc O O B-geo-loc I-geo-loc I-geo-loc O O O O O O O O O O O O O O O
213,RT @mari_dj : e nem joguei direito .,O O O O O O O O
214,"no outro time estava o monstro do vitor D : ushuahsahs I favorited a YouTube video -- Yoav "" We All Are Dancing "" ( Copenhagen March 2010 ) http://youtu.be/xi8qJ3IKK8U?a @LightBringer87 I'm too busy asking @leestanleyinnqy formspring questions , I may get around to you later ;) 1 week til my birthday !! the current library plan is to go Monday morning .",O O O O O O O O O O O O O O B-company O O B-person O B-other I-other I-other I-other O O B-geo-loc O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
215,"first books on shelves , then holds , then check bookstore on way home for The Replacement .",O O O O O O O O O O O O O O O B-product I-product O
216,Thank you @ZUNE for todays Album of the Day .,O O O O O O O O O O
217,Good choice that fits perfectly .,O O O O O O
218,RT @TLyric : @slimthugga when dat Gangsta video droppin bruh &lt; -- u late Lil bro @luvtotalk2u you have cracked me up with your tweets today babe .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O
219,Love it !! X Game tonight with Tessa .,O O O O O O O B-person O
220,I get to see Seanzie if he goes :) .,O O O O B-person O O O O O
221,"I get to see my boyfriend too &lt; 3 c : @DaylySpecialz im doin good , just maxin &amp; relaxin on my day off ... i have a 4 day stetch startin tomorrow .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
222,"Driving , driving , driving away to Phil .",O O O O O O O B-geo-loc O
223,Tasty dinner tonight with the Society of Mining and Metallurgy Engineers .,O O O O O B-other I-other I-other I-other I-other I-other O
224,So apperently there is a dance and game tonight ..... I wonder if kierra will go with me -hinthint- I hope she gets this to her phone e_e @jenniehales wat u up to tonite .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
225,My mob won't let me txt fs .,O O O O O O O O
226,"Xxx Ima start going to the dr once a month so I get my moneys worth I've listened to Tenshi ni Fureta yo so many times that I'm starting to memorize the lyrics , and it 's only been out for 4 days ! o .",O O O O O O O O O O O O O O O O O O O B-other I-other I-other I-other O O O O O O O O O O O O O O O O O O O O O O O
227,O French IV embarrassed me today .. never again will I go into a battle unprepared .,O O O O O O O O O O O O O O O O O
228,"Getting the 10am bus tomorrow #thethingsido @iKutiePie coolen .. i aint speak to my lil baby all day .. had to check up on u Whats goin on ( in tally ) tonight twitter !! Don Mattingly will replace Joe Torre as LA Dodgers manager after this season its saturday ;) i think so : L &lt; 3 &lt; for the competition xxxx (@PaigeLouiseRyan live on http://twitcam.com/2237v ) hai @ayuhastari sukses ya untuk ngehostnya today di inbox , sy gak bisa liat nih wajib ngantor .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-company O B-person I-person O O B-person I-person O B-sportsteam I-sportsteam O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
229,Pick up here .,O O O O
230,"Deliver on Dayton NJ tomorrow (@ Ball Metal Container ) I just took "" After getting trampled at a Justin Bieber concert , yoiu wake up and ..."" and got : Part 6 :) ! Try it : http://tinyurl.com/233u5lu Castle goes down , Murkowski goes write-in .",O O B-geo-loc I-geo-loc O O B-company I-company I-company O O O O O O O O O O B-person I-person O O O O O O O O O O O O O O O O O O B-person O O O B-person O O O
231,Probably not the NRSC 's best-ever week .,O O O B-other O O O O
232,"I just remembered this week is The Heatwave 7th birthday ... meant to make tonight 's Brixton bashment our birthday party but I forgot LOL RT @jaye403 : @BlackCanseco you know it is funny how those ppl want their heros remembered ... when the truth is are less than worthy @Loserface_Laura when mike lets me know , I will let you know .",O O O O O O B-facility I-facility O O O O O O O O B-geo-loc O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-person O O O O O O O O O O
233,I mean everyone might just switch out a lot .,O O O O O O O O O O
234,"'RT @amandacarolinne : "" Danger Days : The True Lives Of The Fabulous Killjoys ""' Engadget : Sky 3D enlists Stephen Fry to explain the technology ahead of its October 1 launch ( video) : With the of ... http://bit.ly/abRALO Tonight @AZUKARlounge Baka Boyz LIVE w/ DJ Elements 103.5 &amp; Soreal .",O O O O B-other I-other I-other I-other I-other I-other I-other I-other I-other I-other O B-company O B-company I-company O B-person I-person O O O O O O O O O O O O O O O O O O O O B-musicartist I-musicartist O O B-musicartist I-musicartist O O O O
235,$150 VIP booths tonight .,O O O O O
236,Text 916.960 .,O O O
237,"8120 for NO cover glist !! RT @DesignerDepot : Minimalist Web Design : When Less is More - http://ow.ly/2FwyX @MJay615 joining the awsm before I'm interested to see what they're bringing to it I just took "" After getting trampled at a Justin Bieber concert , yoiu wake up and ..."" and got : Part 6 :) ! Try it : http://tinyurl.com/233u5lu RT @NAT3OH3 : VMB awards last night were super fun - we won best bossa nova act ! off to HSBC center to soundcheck for epic show tonight .. ... photographing the midway tonight .. should be fun .. lots of fun lights !! makes for great photos .. like this one .. http://twitpic.com/2pdvsw @urbanturbanguy Ooh , I could be your long lost Mexican sister for this .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-person I-person O O O O O O O O O O O O O O O O O O O O O B-other I-other O O O O O O O O O O O O O O O B-facility I-facility O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
238,"Top 10 Best Personal Finance Books of All Time ! | Personal Finance ... http://bit.ly/cAEI7h @MajorBerry Praying with ya that he answers &amp; will be in Sweden , so you can meet him ! I met him 3 weeks ago &amp; still thinking about it lol .",O O O O O O O O O O O O O O O O O O O O O O O O O O B-geo-loc O O O O O O O O O O O O O O O O O O O O
239,"The Town was a really good movie !!! Now passing the time watching &quot; Easy A &quot; until &quot; Devil &quot; starts ! Football game tonight :) yeeah boilers .. oh wait , we suck .",B-movie I-movie O O O O O O O O O O O O B-movie I-movie O O O B-movie O O O O O O O O B-sportsteam O O O O O O O
240,"haha @ home chilling guess I 'm staying in 2day 2 rest this week was crazy but I 'm ready for dis weekend Are you ready for the shield game tonight at 7 ? @Emmas76 have i missed anything these last 2 weeks- how 's music practice going ? I have made the tough decisions , always with an eye toward the bottom line .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
241,Perhaps it 's time America was run like a business .,O O O O B-geo-loc O O O O O O
242,Donald Trump RT @CHRIS_Daughtry : We're playing a show with KISS tomorrow .,B-person I-person O O O O O O O O B-musicartist O O
243,"Can't say I saw that coming 5 years ago ... @poscas I said to him ' the impression I had of early 80s NYC was if you went to Central Park after dark you'd be lucky to come out alive'... I hate that mini heart attack you get when you lose your phone and its on silent Coach Germano , Albin , Haines and Burrow each had home damage from the storm yesterday , according to @JasonCorriher .",O O O O O O O O O O O O O O O O O O O O O O O B-geo-loc O O O O O B-geo-loc I-geo-loc O O O O O O O O O O O O O O O O O O O O O O O O O O B-person I-person O B-person O B-person O B-person O O O O O O O O O O O O O
244,&lt; 3 @CamrynRocks always brightens up my day .,O O O O O O O O O
245,you should follow her and listen to her wonderful music .,O O O O O O O O O O O
246,&lt; 3 Really wish I can see a rocket to the moon today .,O O O O O O O O O O O O O O
247,They would totally make my day .,O O O O O O O
248,"@alyaffair Lol , that 's not going to solve your problems .",O O O O O O O O O O O O
249,"When you sober up again , they're going to back .",O O O O O O O O O O O
250,"anyway tonight was awesome but @cammieahch left really early :/ Congrats to @BigBlueSpruce and their record release today ! Join us to celebrate with them at @worldcafelive Get your CD &amp; tees 8PM today ! going now guiseeeee ... if i dont see you through the week ill see you through the window :) :) Thank you so very much EVERYONE for the lovely Friday Follows today - you are all too lovely :) Sorry I've not had time to reciprocate xXx Why is twitter dead ? Oh yeah , that 's right , other people have lives on Friday nights .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-company O O O O O O O O O O O O O O O O O
251,"Jessica Simpson is PREGNANT !?!: Jessica Simpson is pregnant ?? Simpson is pregnant with her barely 4-month boyfrien ... http://bit.ly/aoempS I like @SouljaBoy songs after a few drinks Spent all of last night puking , and all of today fretting .",B-person I-person O O O B-person I-person O O O B-person O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
252,Some people totally fail to pick up the slack when you are away .,O O O O O O O O O O O O O O
253,Apparently #turningpoint has a hash-tag .,O O O O O O
254,And @RoundhouseLDN has a Twitter account .,O O O O B-company O O
255,So with the formalities over ... see you tomorrow .,O O O O O O O O O O
256,"Greek Festival at St Johns before ASPEN @The_TDawson what were yu talking about yesterday ? ahhh yes , a friday :) just chilled with madison ! &lt; 3 @BEE_LYNN_BAYBEE Funniest shit of the day "" Im officially blown .",B-other I-other O B-geo-loc I-geo-loc O B-geo-loc O O O O O O O O O O O O O O O O O B-person O O O O O O O O O O O O O O
257,"Dont wanna to talk about it "" lls RT @TomsTop5 : Check us out - we 're FEATURED on iTunes this week ! Make sure to subscribe so Jobs knows you love us http://twitpic.com/2pdr8h #FF @Ashley_Akalei Love her .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
258,She`s a sweetie when she`s in a good mood .,O O O O O O O O O O
260,"@Jeaworld Happy Birthday JeA Unnie Have lots of birthday fun May your birthday wishes all come true luv ya &amp; take care #reallymeans to love- can't get her outta my head wann spend every day with herz ! i saw @TATTEDUP_FLYTY one day walkin 2 the store .. and this foo tripped and tried 2 play it off LOL !!!! @mekamoe927 I 've had one before , but it was a short experience ( double entendre intended) .",O O O B-person I-person O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
261,Best #free #livemusic in #Denver tonight with the return of Breaking &amp; Entering .,O O O O B-geo-loc O O O O O B-musicartist I-musicartist I-musicartist O
262,Be sure to come down to Hi Pac and check it out ! 3 tests and an essay today .,O O O O O O B-facility I-facility O O O O O O O O O O O O
263,&gt; __ &gt; also i lost my backpackkk c : but then i found it .,O O O O O O O O O O O O O O O O
264,Ah crap .,O O O
265,"No #MCRchat tonight for me , I guess : | Damn I was so excited :' ( I had a substitute today that looked like @thedillon from the side of his face .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
266,"Haha RT @Leonsays : Need a nice chill spot tonight , no hype ... Any suggestions ? What is everyone watching this weekend ? Twins ? Vikings ? anyone going to see Friday Night Lights ? Yahoo : Jackie joins Twitter 50 years after JFK campaign : Had Twitter been an option in 1960 , a pregnant Jacquelin ... http://yhoo.it/9VAD4A #MuchLove to my baby girl ! 10.20 .",O O O O O O O O O O O O O O O O O O O O O O O O B-sportsteam O B-sportsteam O O O O O B-tvshow I-tvshow I-tvshow O B-company O B-person O B-company O O O B-person O O O B-company O O O O O O O O B-person O O O O O O O O O O
267,"09 !! One year here we come ! LADY GAGA IS BETTER THE 5th TIME OH BABY( : argrgrgr hy is it already midway through sep !!!! :( I just took "" After getting trampled at a Justin Bieber concert , yoiu wake up and ..."" and got : Part 6 :) ! Try it : http://tinyurl.com/26zeju5 RT @Sexstrology : Sagittarius is turned off when you play hard to get .",O O O O O O O O B-person I-person O O O O O O O O O O O O O O O O O O O O O O O O O O O B-person I-person O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
268,They want it now .,O O O O O
269,#JenniferAniston quote of the day : I don't have a religio n.I believe in a Go d.I don't know what it looks like ( cont ) http://tl.gd/63av0t @philmacaulay Recently appreciated how amazing night time is :D @bieberarmy_asia hey i gotta ask you something if i can :) please tweet me when you be online and i'll send you DM .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
270,"okkk ? thank you If Conn is less than impressed with chevre , he has a loyal ally in his grandscruffy , who finds it great when it 's good -- which is rarely .",O O O O O B-person O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
271,RT @atlantamade1986Shorts or leggings tonight ??&quot; Leggings .,O O O O O O O O
272,"It 's sumthin bout em I like on a woman ... cuz u can c da cameltoe that 's why .. lol Work from Home try a FREE 90 Day Membership , We have Clients waiting for You at : http://www.dewpointe.com/JoinMyAppointmentSetter @DonnieWahlberg Hey hun ... We are all here tonight .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
273,lol .,O O
274,Friday .,O O
275,oh yeah ... lol My first assignment was a medical illustration job through a friend .,O O O O O O O O O O O O O O O O
276,"After meeting with the surgeon , I comple ... Hey Listeners we're recording Sunday for episode 28 &amp; it 's a retrospective on the Halo franchise along with an ass load of other goodness ! @KatherineRamos it 's cool also I'm not sure .",O O O O O O O O O O O O O O O O O O O O O O O O B-product O O O O O O O O O O O O O O O O O O O
277,If I were you I'd renew right away before but if not I'd still try .,O O O O O O O O O O O O O O O O
278,Best of luck Chilling wit my baby tonight ! Playboy - 10 October 2010 Slovenia : Playboy - 10 October 2010 SloveniaSlovene | 138 pages | PDF | 39.45 Mb http://bit.ly/aJILb4 RT @Sexstrology : Pisces tend to escape into fantasy and day dreams .,O O O O O O O O O B-company O O O O B-geo-loc O B-company O O O O O O O O O O O O O O O O O O O O O O O O O O O
279,There they are free .,O O O O O
280,"Radio Ga Ga : Collector fills his house with 1,200 radio sets spanning more than 100 years http://bit.ly/dgpvp1 @vogueglamGIRL Ah I know ! She is simply the best in The Sept Issue .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
281,My boyfriend 's aunt worked for Anna Wintor in NY .,O O O O O O B-person I-person O O O
282,Having movie night tonight at the crib and ur not invited *BBM sticks tongue out smiley* RT @LUNGevity : This is going to be an amazing weekend w/3 events on the same day benefiting lung cancer research ( Sun/Sept 19 ) !... http ... Gotta call mom 2 let her know it 's almost 3 .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
283,Yli gets out in 15 .,B-person O O O O O
284,"Mom took the antenna home today &amp; connected it at home , finally .",O O O O O O O O O O O O O O
285,Chicago Blackhawks general manager Stan Bowman said Cristobal Huet will be gone in two weeks ... http://fan.ac/Ydv #NHL @JayDubshow it showed you Clapping on TV after the Swagger/Kofi Match Lol Hendrix died 40 years ago ... but his studio lives on .,B-sportsteam I-sportsteam O O B-person I-person O B-person I-person O O O O O O O O O O O O O O O O O O B-other I-other O B-person O O O O O O O O O O O
286,"A look at NYC 's Electric Lady Studios , past and present : http://ow.ly/2G49m @FirstLadyEve have a dating show with @ogochocinco evry week 'll compete with sum hawt dude 2 keep ur intrest like @willdemps my$ on will tonight at The Lodge : braised bison shortribs , kabocha squash risotto http://twitpic.com/2pdu4g @OhSoJosie shit get me tight when I go to the beach n everybody in the sand -_- @Jessica_Chobot did you see the yakuza vs zombies .... smh but cool at the same time Comets circle the universe and every few hundred yrs it takes photos of progress Time out there id different than close up @Miss_SarahBaby hmmm .. u kno when happy hour ends ? @lauramcblain94_ lololololol tonight was worse than stressful ! xo Last day Going to the country fair today :) Maybe it 's compulsary .. when you're over the age of 30 and an unemployed wrestler you have to act like a total tool .",O O O B-geo-loc O B-company I-company I-company O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-facility I-facility O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-other O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
287,http://fb.me/GpyFjTgp RT @broniaisdeadly : http://www.youtube.com/watch?v=yRyK9doEmHE &lt; A DAY IN THE LIFE OF ME .,O O O O O O O O O O O O O O
288,Go comment and subscribe and I'll love you ... @keevaguilfoyle you know you're loved when @shabbyofficial gets a new hat in your honor .,O O O O O O O O O O O O O O O O O O O O O O O O
289,"@bookpage We should 've scheduled a meeting with Trisha in Paris for this week ... #deau my past was the reason i tried to kill myself the other day , and i 'll gladly do it again .",O O O O O O O O B-person O B-geo-loc O O O O O O O O O O O O O O O O O O O O O O O O O O O
290,"Just listened to a 24 y/o kid from japan who won the national flat picking championship flipping amazing r/l august rush Added a few people tonight so if I added you i'm not a stalker , just following @scotsman7 amd his #FF ty :) @MikePortnoy I got slapped in the face the other day by a few DT fans because I said you were awesome for joining A7X .",O O O O O O O O B-geo-loc O O O B-other I-other I-other I-other O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-musicartist O O O O O O O O O O O
291,So worth it .,O O O O
292,foREVer ! Jessum 's Question of teh Day : who 's you favorite sidekick ? Yesterday 's results : http://yfrog.com/mmeoxj :( RT @themaine Who is coming to the show tomorrow in Hawaii ? @SweetBee_90 what 's the look for tonight ? @SofieB_ Hah ! That 's the one programme my dad and I watch together every week ! Is all done getting things set up for the Ultimate Magic playtest that starts on Monday .,O O B-person O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-geo-loc O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-other I-other O O O O O O
293,Ca n't wait to see what people think .,O O O O O O O O O
294,"So this will be more lhs games then i went to then when i went to lhs @PERSONGUY6661 I have n't unfortunately :( I missed the chance when theycame to the uk this year , you seen them ? next few weeks are going to be hectic between traveling and knee surgery when i get back @daddiee_nini No ... I'll try not too .",O O O O O B-facility O O O O O O O O O O B-facility O O O O O O O O O O O O O O B-geo-loc O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
295,I've missed too many days already ... @thedgoddess I can be ... when I want to be .,O O O O O O O O O O O O O O O O O O
296,"RT @thedgoddess : You are so benevolent , oh kind master .",O O O O O O O O O O O O
297,@saarbei ooh ! as long as food was had to celebrate .,O O O O O O O O O O O O
298,"you HAVE to celebrate all occasions with good food ! @FaeNathara Yes , well a HOOT absoroootly because I'm secretly a hoot , the rest of the time I'm serious ... don't tell anyone I don't mean to sound old , but today 's music is wack .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
299,Thank you for all your support .,O O O O O O O
300,Best wishes from DUKETERS'S..have a nice day havent been on facebook for a day .,O O O O O O O O O O B-company O O O O
301,go on and have 0 notifications #foreveralone holy FUCK THIS IS THE MOST BORING DAY EVER .,O O O O O O O O O O O O O O O O O
302,headin to get shitty in a few ... 1st n summit ... then rehab ... my life will be a blur after this night Sleeping time .,O O O O O O O O O O O O O O O O O O O O O O O O O O O
303,"Morgenochtend maar even de Koperdoos een schoonmaakbeurtje geven ... New #VideoRecorder #7 : Flip MinoHD Video Camera -- 8 GB , 2 Hour Record Time : Flip MinoHD Video Camera -- ... http://dlvr.it/5P5kV #cheaptweet @Romanthropy oi u there 's a #MCRchat on tonight .",O O O O O O O O O O O O O B-product I-product O O O O O O O O O O O B-product I-product O O O O O O O O O O O O O O O O
304,No idea what it entails but if it 's new album convos were in !! @LOOPYisLINDSAY hahaha .,O O O O O O O O O O O O O O O O O O
305,Nice .,O O
306,How was ur day 2day ? I don't get when people say when Justin gets a gf that should be me will be #1 I'm pretty sure almost all bieber fans have it already .,O O O O O O O O O O O O O B-person O O O O O O O O O O O O O O O B-person O O O O O
307,"8 ) @DesiiDanii4 nou ze is al een week best wel erg ziek , echt heel zielig !: Fuckk man ! I fuckinn missed @yelyahwilliams concert :( #shizz ! I wonder if they're coming to Arizona next year ?? ... if I didnt have to worry about $ I'd move to VT and buy some hogs and spend my days dropping LSD and taking long walks in gucci shoes ... RT @Mickey__Rourke : 58 years ago today I tumbled from my mother 's womb with a cigarette in my mouth and a chihuahua puppy under each arm ... @Tink3rbell94 going to GA , don't know why but when I thought about it ATL stood out in my mind .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-geo-loc O O O O O O O O O O O O O O O B-geo-loc O O O O O O O O O O O O O O O B-company O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-geo-loc O O O O O O O O O O B-geo-loc O O O O O O
308,I have time to plan it properly though :) Tryna Get Into Something Tonight some freshies sat at our lunch table today .,O O O O O O O O O O O O O O O O O O O O O O O
309,so i sat with them and talked with them about .. stuff .,O O O O O O O O O O O O O
310,"RT @oceanbutterfly7 : Sweet spirited : U brighten my day !! @kalnok @Realtorkeita @SaintDC @angelgrace226 @Anita316 @Leters4theLord @GlyndiA ... when did @thecodysimpson last tweet ,? ;) @JBsHOTNESS i do talk about him every second she like his songs for a week :/ @clarebieberx np ! @FutreTeenStar sure !! fckn emily rodriguez did n't bring my cookies today !! lil brat .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-person I-person O O O O O O O O O O
311,@Wes0010 good idea ! i have some i found in the golf bag i just received from my aunt who died 21 years ago ! @thevoiceoverguy 9 days then Sydney 3 weeks of school and i'm already fed up with it .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-geo-loc O O O O O O O O O O O O
312,"come back , summer .",O O O O O
313,@ShawanaA It did me t o.I was so sympathtic to her when I frst hrd this .,O O O O O O O O O O O O O O O O O
314,When she blmd a AA for it realy pis'd me off .,O O O O O O O O O O O O
315,Someone copied her hoax @joeymcintyre I heart you .,O O O O O O O O O
316,"Even if I haven't seen u in months ... SEND A PIC ! @ChefGuyFieri Pls RT - NIGHT golf tournament 9/25 to benefit 3 year old Penny of Mesa , AZ who had heart transplant .",O O O O O O O O O O O O O O O O O O O O O O O O O O B-person O B-geo-loc O B-geo-loc O O O O O
317,www.flancers.com 4 info Is counting down the days to Oct 23rd and the Wright family Halloween bash !! It 's gonna be amazing .. they go all out for it ! Soulja Boy | TheDeAndreWay .,O O O O O O O O O O O O O B-other I-other B-other O O O O O O O O O O O O O O O B-person I-person O O O
318,"com - The DeAndre Way in stores Nov 2 , 2010 http://t.co/ifJBMTR via @SouljaBoy @ShelAndPushPlay Yeah man , u got it .",O O B-other I-other I-other O O O O O O O O O O O O O O O O O
319,It 's only a matter of time .,O O O O O O O O
320,"RT @VanessaSCassie : Ok , one more tweet before I go : Fresh Look Fridays post was on an math games site for #smartboard http://bit.ly/b4MXHG sexy azz @RICCOBARRINO tweeted me but can i get a follow baby ??? and i got you i will let my folks know ... when is the new album ?? i willget @Kieran_Doyle ew suga on tea ! wen i was yungr nd we adta giv stuf up 4 lent i gav up suga on ma tea ... afta da month i didnt lyk it nymor lol RT @WScottsdale : What 's happening at @WScottsdale the rest of the month ? Check out our September Happenings ! http://bit.ly/WHapps RT @dropolo Headed to da gump today alabama here I come &lt; &lt; come to shut it down broski .. fuck wit me..Parlae 's in house producer No loss is greater than the loss of a thought process before you 've had the time to write it down .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-geo-loc O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
321,"Costa Rican group CocoFunka power this week 's Indiesent Exposure http://ht.ly/2G4nS by @fuseboxradio on @planetill WEDNESDAY NITES WE CRANK IT UP AT VISIONS LOUNGE !!!!! 18+ NO COLLEGE ID NEEDED ! LADIES FREE B4 11PM ! VISIONS LOUNGE ( 247 1ST AVE HKY ) So I'm off to the Mumpreneur Awards tomorrow and leaving daughter @itsonlymestupid to talk to press &amp; buyers on our stand @LondonFashionWk does any one kno the right address to the walmart that @Treysongz is suppose to be at tomorrow in maryland ?? RT @_RANGO_ : Hey y'all "" East Nu ,"" round Two tonight .",O O O B-musicartist O O O O B-tvshow I-tvshow O O O O O O O O O O O O B-facility I-facility O O O O O O O O O O O O B-facility I-facility O O O O O O O O O O O B-other I-other O O O O O O O O O O O O O O O O O O O O O O O O B-company O O O O O O O O O B-geo-loc O O O O O O O B-other I-other O O O O O
322,See y'all early ! (shit !!!! I should've stayed lol Ball Gowns : Becoming the Belle of the Ball .,O O O O O O O O O O O O O O O O O O O O
323,It 's easy to shine like a star when you know some basic tricks .,O O O O O O O O O O O O O O O
324,http://bit.ly/d4s9RR Toy story 3 tonight on the lawn ! watching camp rock 2 again ... all the way through this time :P .,O B-movie I-movie I-movie O O O O O O B-movie I-movie I-movie O O O O O O O O O O
